,Datetime,저수율
0,2023-01-27 01:10:02+00:00, 25.29
1,2023-01-26 01:08:00+00:00, 25.42
2,2023-01-26 01:01:00+00:00, 25.42
3,2023-01-25 01:24:00+00:00, 25.52
4,2023-01-20 00:57:30+00:00, 25.83
5,2023-01-19 01:01:01+00:00, 25.90
6,2023-01-18 00:57:30+00:00, 25.9
7,2023-01-16 01:00:32+00:00, 25.83
8,2023-01-13 01:06:30+00:00, 23.80
9,2023-01-12 01:04:00+00:00, 23.93
10,2023-01-11 01:13:00+00:00, 24.07
11,2023-01-10 01:09:31+00:00, 24.20
12,2023-01-09 01:00:01+00:00, 24.34
13,2023-01-06 01:01:31+00:00, 24.78
14,2023-01-05 01:46:31+00:00, 24.95
15,2023-01-04 01:00:30+00:00, 25.12
16,2023-01-03 01:13:30+00:00, 25.29
17,2023-01-02 01:07:01+00:00, 25.46
18,2022-12-30 05:16:31+00:00, 25.93
19,2022-12-29 01:16:02+00:00, 26.10
20,2022-12-28 00:59:31+00:00, 26.27
21,2022-12-27 01:35:00+00:00, 26.40
22,2022-12-26 01:02:01+00:00, 26.57
23,2022-12-22 01:14:01+00:00, 26.95
24,2022-12-21 01:04:31+00:00, 27.08
25,2022-12-20 01:00:31+00:00, 27.18
26,2022-12-19 01:00:01+00:00, 27.32
27,2022-12-16 01:10:01+00:00, 27.79
28,2022-12-15 01:06:00+00:00, 27.96
29,2022-12-14 01:22:01+00:00, 28.10
30,2022-12-13 01:12:31+00:00, 28.26
31,2022-12-12 01:00:31+00:00, 28.43
32,2022-12-09 01:10:30+00:00, 28.87
33,2022-12-08 01:01:31+00:00, 29.04
34,2022-12-07 01:05:00+00:00, 29.21
35,2022-12-06 01:01:31+00:00, 29.42
36,2022-12-05 01:00:31+00:00, 29.58
37,2022-12-02 01:52:31+00:00, 30.13
38,2022-12-01 01:01:00+00:00, 30.27
39,2022-11-30 00:50:30+00:00, 30.43
40,2022-11-28 00:07:00+00:00, 30.76
41,2022-11-24 08:51:00+00:00, 31.08
42,2022-11-11 05:00:31+00:00, 32.3
43,2022-11-08 06:06:01+00:00, 32.5
44,2022-11-01 02:07:00+00:00, 33.4
