지점,지점명,일시,일강수량(mm)
156,광주,2022-10-04,33.4
156,광주,2022-10-07,0
156,광주,2022-10-09,2.3
156,광주,2022-10-10,2.2
156,광주,2022-10-11,0
156,광주,2022-10-21,0
156,광주,2022-10-22,0.4
156,광주,2022-11-10,0
156,광주,2022-11-12,21.1
156,광주,2022-11-13,10.5
156,광주,2022-11-16,0
156,광주,2022-11-19,0
156,광주,2022-11-20,0.4
156,광주,2022-11-22,1.9
156,광주,2022-11-23,0.8
156,광주,2022-11-28,4.8
156,광주,2022-11-29,7.2
156,광주,2022-12-06,0
156,광주,2022-12-10,0
156,광주,2022-12-12,0
156,광주,2022-12-13,0.5
156,광주,2022-12-14,1.7
156,광주,2022-12-15,0.1
156,광주,2022-12-16,0
156,광주,2022-12-17,2.9
156,광주,2022-12-18,4.6
156,광주,2022-12-19,0.1
156,광주,2022-12-21,4.2
156,광주,2022-12-22,2.5
156,광주,2022-12-23,13.9
156,광주,2022-12-24,0.1
156,광주,2023-01-06,2.4
156,광주,2023-01-12,0.1
156,광주,2023-01-13,24.2
156,광주,2023-01-14,0
156,광주,2023-01-15,0
